,ISBN,user_id,rating,title,author,publisher,image,year,average_rating,count_ratings
5,0060283130,7,56,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,HarperCollins,http://images.amazon.com/images/P/0060283130.01.THUMBZZZ.jpg,1999,8.0,49
6,0060392452,58,484,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,Regan Books,http://images.amazon.com/images/P/0060392452.01.THUMBZZZ.jpg,2002,8.344827586206897,3364
7,0060502258,58,453,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,HarperTorch,http://images.amazon.com/images/P/0060502258.01.THUMBZZZ.jpg,2002,7.810344827586207,3364
11,0060809833,10,91,Brave New World,Aldous Huxley,Harpercollins,http://images.amazon.com/images/P/0060809833.01.THUMBZZZ.jpg,1989,9.1,100
12,0060830956,8,70,Brave New World,Aldous Huxley,HarperCollins Publishers,http://images.amazon.com/images/P/0060830956.01.THUMBZZZ.jpg,1984,8.75,64
13,0060915544,46,399,The Bean Trees,Barbara Kingsolver,Perennial,http://images.amazon.com/images/P/0060915544.01.THUMBZZZ.jpg,1989,8.673913043478262,2116
14,0060928336,92,746,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Perennial,http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg,1997,8.108695652173912,8464
15,0060929871,35,269,Brave New World,Aldous Huxley,Perennial,http://images.amazon.com/images/P/0060929871.01.THUMBZZZ.jpg,1998,7.685714285714286,1225
16,0060930535,60,485,The Poisonwood Bible: A Novel,Barbara Kingsolver,Perennial,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,1999,8.083333333333334,3600
17,0060934417,55,452,Bel Canto: A Novel,Ann Patchett,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,2002,8.218181818181819,3025
18,0060935464,14,121,To Kill a Mockingbird,Harper Lee,Perennial Classics,http://images.amazon.com/images/P/0060935464.01.THUMBZZZ.jpg,2002,8.642857142857142,196
19,0060938455,61,509,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Perennial,http://images.amazon.com/images/P/0060938455.01.THUMBZZZ.jpg,2002,8.344262295081966,3721
20,0060976845,61,464,Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg,1996,7.60655737704918,3721
21,0060977477,9,74,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,Perennial,http://images.amazon.com/images/P/0060977477.01.THUMBZZZ.jpg,1999,8.222222222222221,81
22,0060987103,63,493,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,Regan Books,http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg,1996,7.825396825396825,3969
23,0060987529,44,337,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,Regan Books,http://images.amazon.com/images/P/0060987529.01.THUMBZZZ.jpg,2000,7.659090909090909,1936
24,0060987561,37,322,I Know This Much Is True,Wally Lamb,Regan Books,http://images.amazon.com/images/P/0060987561.01.THUMBZZZ.jpg,1999,8.702702702702704,1369
25,0061009059,55,439,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,HarperTorch,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg,1995,7.9818181818181815,3025
26,006101351X,38,283,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,HarperTorch,http://images.amazon.com/images/P/006101351X.01.THUMBZZZ.jpg,1998,7.447368421052632,1444
30,0061097314,18,142,The Bean Trees,Barbara Kingsolver,HarperTorch,http://images.amazon.com/images/P/0061097314.01.THUMBZZZ.jpg,1998,7.888888888888889,324
32,006440188X,15,145,The Secret Garden,Frances Hodgson Burnett,HarperTrophy,http://images.amazon.com/images/P/006440188X.01.THUMBZZZ.jpg,1998,9.666666666666666,225
33,0064407667,52,404,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,HarperCollins,http://images.amazon.com/images/P/0064407667.01.THUMBZZZ.jpg,1999,7.769230769230769,2704
34,0064407675,33,263,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,HarperCollins,http://images.amazon.com/images/P/0064407675.01.THUMBZZZ.jpg,1999,7.96969696969697,1089
35,0070212570,36,315,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,McGraw-Hill,http://images.amazon.com/images/P/0070212570.01.THUMBZZZ.jpg,1989,8.75,1296
38,0099245027,9,61,The Testament,John Grisham,Trafalgar Square,http://images.amazon.com/images/P/0099245027.01.THUMBZZZ.jpg,1999,6.777777777777778,81
40,0140067477,39,315,The Tao of Pooh,Benjamin Hoff,Penguin Books,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,1983,8.076923076923077,1521
44,014028009X,60,455,Bridget Jones's Diary,Helen Fielding,Penguin Books,http://images.amazon.com/images/P/014028009X.01.THUMBZZZ.jpg,1999,7.583333333333333,3600
45,0140282033,9,68,Chocolat,Joanne Harris,Penguin Books,http://images.amazon.com/images/P/0140282033.01.THUMBZZZ.jpg,2000,7.555555555555555,81
47,0140293248,48,327,The Girls' Guide to Hunting and Fishing,Melissa Bank,Penguin Books,http://images.amazon.com/images/P/0140293248.01.THUMBZZZ.jpg,2000,6.8125,2304
50,014029628X,42,340,Girl in Hyacinth Blue,Susan Vreeland,Penguin Books,http://images.amazon.com/images/P/014029628X.01.THUMBZZZ.jpg,2000,8.095238095238095,1764
51,0140298479,43,343,Bridget Jones: The Edge of Reason,Helen Fielding,Penguin Books,http://images.amazon.com/images/P/0140298479.01.THUMBZZZ.jpg,2001,7.976744186046512,1849
53,014100018X,29,236,Chocolat,Joanne Harris,Penguin Books,http://images.amazon.com/images/P/014100018X.01.THUMBZZZ.jpg,2000,8.137931034482758,841
54,0141000198,32,232,Bridget Jones's Diary,Helen Fielding,Penguin Putnam,http://images.amazon.com/images/P/0141000198.01.THUMBZZZ.jpg,2001,7.25,1024
55,0142000205,41,309,Icy Sparks,Gwyn Hyman Rubio,Penguin Books,http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg,2001,7.536585365853658,1681
56,0142001740,97,855,The Secret Life of Bees,Sue Monk Kidd,Penguin Books,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,2003,8.814432989690722,9409
58,015100692X,24,182,The Crimson Petal and the White,Michel Faber,Harcourt,http://images.amazon.com/images/P/015100692X.01.THUMBZZZ.jpg,2002,7.583333333333333,576
59,0151008116,35,288,Life of Pi,Yann Martel,Harcourt,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg,2002,8.228571428571428,1225
64,0156012197,14,134,The Little Prince,Antoine de Saint-Exup̩ry,Harvest Books,http://images.amazon.com/images/P/0156012197.01.THUMBZZZ.jpg,2000,9.571428571428571,196
65,0156027321,78,641,Life of Pi,Yann Martel,Harvest Books,http://images.amazon.com/images/P/0156027321.01.THUMBZZZ.jpg,2003,8.217948717948717,6084
67,0156028778,18,124,The Crimson Petal and the White,Michel Faber,Harvest Books,http://images.amazon.com/images/P/0156028778.01.THUMBZZZ.jpg,2003,6.888888888888889,324
69,0156528207,19,174,The Little Prince,Antoine de Saint-Exup̩ry,Harcourt,http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg,1968,9.157894736842104,361
73,0312195516,115,980,The Red Tent (Bestselling Backlist),Anita Diamant,Picador USA,http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg,1998,8.521739130434783,13225
74,0312203039,9,74,High Five (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Press,http://images.amazon.com/images/P/0312203039.01.THUMBZZZ.jpg,1999,8.222222222222221,81
75,0312265840,14,113,Seven Up (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Press,http://images.amazon.com/images/P/0312265840.01.THUMBZZZ.jpg,2001,8.071428571428571,196
76,0312265859,26,216,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Press,http://images.amazon.com/images/P/0312265859.01.THUMBZZZ.jpg,2002,8.307692307692308,676
77,0312278586,63,477,The Nanny Diaries: A Novel,Emma McLaughlin,St. Martin's Press,http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg,2002,7.571428571428571,3969
78,0312291639,38,294,The Nanny Diaries: A Novel,Emma McLaughlin,St. Martin's Griffin,http://images.amazon.com/images/P/0312291639.01.THUMBZZZ.jpg,2003,7.7368421052631575,1444
79,0312305060,52,397,The Hours: A Novel,Michael Cunningham,Picador,http://images.amazon.com/images/P/0312305060.01.THUMBZZZ.jpg,2002,7.634615384615385,2704
80,0312422156,27,227,Middlesex: A Novel,Jeffrey Eugenides,Picador,http://images.amazon.com/images/P/0312422156.01.THUMBZZZ.jpg,2003,8.407407407407407,729
82,0312924585,60,511,Silence of the Lambs,Thomas Harris,St. Martin's Press,http://images.amazon.com/images/P/0312924585.01.THUMBZZZ.jpg,1991,8.516666666666667,3600
83,0312966091,52,440,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966091.01.THUMBZZZ.jpg,1998,8.461538461538462,2704
84,0312966970,52,437,Four To Score (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966970.01.THUMBZZZ.jpg,1999,8.403846153846153,2704
85,0312971346,48,419,High Five (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312971346.01.THUMBZZZ.jpg,2000,8.729166666666666,2304
86,0312976275,47,380,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312976275.01.THUMBZZZ.jpg,2001,8.085106382978724,2209
87,0312980140,54,462,Seven Up (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312980140.01.THUMBZZZ.jpg,2002,8.555555555555555,2916
88,0312983271,40,309,Full House (Janet Evanovich's Full Series),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983271.01.THUMBZZZ.jpg,2002,7.725,1600
89,0312983867,37,300,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983867.01.THUMBZZZ.jpg,2003,8.108108108108109,1369
90,0316096199,54,457,Lucky : A Memoir,Alice Sebold,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.THUMBZZZ.jpg,2002,8.462962962962964,2916
91,0316182540,11,94,White Oleander : A Novel,Janet Fitch,"Little, Brown",http://images.amazon.com/images/P/0316182540.01.THUMBZZZ.jpg,2001,8.545454545454545,121
92,0316284955,43,337,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,Back Bay Books,http://images.amazon.com/images/P/0316284955.01.THUMBZZZ.jpg,2000,7.837209302325581,1849
94,0316569321,49,385,White Oleander : A Novel,Janet Fitch,"Little, Brown",http://images.amazon.com/images/P/0316569321.01.THUMBZZZ.jpg,1999,7.857142857142857,2401
95,0316601950,73,579,The Pilot's Wife : A Novel,Anita Shreve,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg,1999,7.931506849315069,5329
97,0316666009,20,140,1st to Die: A Novel,James Patterson,Little Brown and Company,http://images.amazon.com/images/P/0316666009.01.THUMBZZZ.jpg,2001,7.0,400
98,0316666343,195,1614,The Lovely Bones: A Novel,Alice Sebold,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,2002,8.276923076923078,38025
